,ISIN,COMPANY_CODE,SECTOR_CODE,REPORTING_YEAR,N_SDG1,N_SDG2,N_SDG3,N_SDG4,N_SDG5,N_SDG6,N_SDG7,N_SDG8,N_SDG9,N_SDG10,N_SDG11,N_SDG12,N_SDG13,N_SDG14,N_SDG15,N_SDG16,N_SDG17,Market Value
0,GB0031638363,INTERT00001,CONS,2022,0,0,-990000,0,0,-410000,0,0,0,0,-240000,-240000,-8800000,-160000,-84000,0,0,"$8,109.37 "
7,INE192A01025,TATACO00002,FOMA,2022,0,0,-360000,0,0,-150000,0,-1200000,-580000,0,-86000,-83000,-1700000,-57000,-33000,0,0,"$5,320.77 "
14,CH0130293662,BKWAGX00001,GENE,2022,0,0,-56000000,0,0,-16000000,0,0,0,0,-55000000,-19000000,-4300000,-1100000,-5100000,0,0,"$3,260.87 "
21,US29786A1060,ETSYIN00001,WHRE,2022,0,0,-160000,0,0,-60000,0,-460000000,-230000000,0,-38000,-37000,-120000,-26000,-12000,0,0,"$12,607.60 "
28,US90384S3031,ULTABE00001,WASH,2022,0,0,-3200000,0,0,-660000,0,0,0,0,-320000,-480000,-12000000,-570000,-160000,0,0,"$26,690.91 "
35,GB0007980591,BPXXXX00001,OGES,2022,0,0,-120000000,0,0,-18000000,0,-940000000,-470000000,0,-58000000,-26000000,-1600000000,-13000000,-5600000,0,0,"$115,794.05 "
42,GB0031348658,BARCLA00001,FINS,2022,0,0,-280000,0,0,-120000,0,-10000000000,-3400000000,0,-69000,-64000,-6100000,-42000,-28000,0,0,"$28,162.20 "
49,FR0000130577,PUBLIC00003,CONS,2022,0,0,-2800000,0,0,-1100000,0,0,0,0,-670000,-670000,-3800000,-460000,-230000,0,0,"$18,442.61 "
56,GB00BWFGQN14,SPIRAX00001,FMMA,2022,0,0,-620000,0,0,-150000,0,0,0,0,-87000,-110000,-2000000,-110000,-31000,0,0,"$10,581.94 "
63,FR0000121220,SODEXO00001,FOOD,2022,0,0,-6800000,0,0,-2600000,0,0,0,0,-1900000,-1700000,-8200000,-1100000,-540000,0,0,"$8,755.77 "
70,GB0004544929,IMPERI00001,OTHE,2022,0,0,-13000000,0,0,-5400000,0,0,0,0,-3300000,-3300000,-17000000,-2200000,-1100000,0,0,"$19,757.86 "
77,US38141G1040,GOLDMA00001,FINS,2022,0,0,-72000,0,0,-60000,0,-5800000000,-1900000000,0,-1400,-1700,-8200000,-2200,-20000,0,0,"$112,432.33 "
84,US8725901040,TMOBIL00001,ITIS,2022,0,0,-8900000,0,0,-3700000,0,0,0,0,-2200000,-2200000,-150000000,-1500000,-750000,0,0,"$77,836.64 "
91,FI0009014575,METSOO00001,FMMA,2022,0,0,-650000,0,0,-170000,0,0,0,0,-88000,-110000,-6700000,-110000,-37000,0,0,"$8,127.77 "
98,US8330341012,SNAPON00001,TRAN,2022,0,0,-1500000,0,0,-560000,0,0,0,0,-320000,-340000,-5600000,-250000,-120000,0,0,"$12,507.23 "
105,US8334451098,SNOWFL00001,ITIS,2022,0,0,-41000,0,0,-19000,0,-460000000,-230000000,0,-11000,-9600,-1800000,-6100,-4200,0,0,"$39,620.61 "
109,GB0007908733,SSEXXX00001,GENE,2022,0,0,-22000000,0,0,-17000000,0,0,0,0,-6300000,-2200000,-300000000,-170000,-5800000,0,0,"$24,300.26 "
116,JP3283460008,KOEITE00001,ITIS,2022,0,0,-22000,0,0,-9800,0,-30000000,-15000000,0,-5600,-5100,-950000,-3200,-2200,0,0,"$2,001.33 "
123,FI0009014377,ORIONC00001,PILL,2022,0,0,-55000,0,0,-5100,0,0,0,0,-850,-5300,-1200000,-9900,-1700,0,0,"$5,039.33 "
130,INE121J01017,INDUST00011,ITIS,2022,0,0,-1700000,0,0,-590000,0,0,0,0,-790000,-490000,-330000000,-230000,-120000,0,0,"$1,190.43 "
137,NO0010063308,TELENO00001,ITIS,2022,0,0,-340000,0,0,-150000,0,0,0,0,-90000,-81000,-41000000,-51000,-35000,0,0,"$7,759.85 "
144,INE066A01021,EICHER00001,TRAN,2022,0,0,-87000,0,0,-53000,0,-20000000,-10000000,0,-2500,-4200,-3100000,-6700,-18000,0,0,"$5,159.52 "
151,US7223041028,PINDUO00001,ITIS,2022,0,0,-660000,0,0,-300000,0,0,0,0,-170000,-150000,-28000000,-96000,-69000,0,0,"$84,483.60 "
158,JP3233250004,JAPANP00004,FINS,2022,0,0,-85000,0,0,-33000,0,0,0,0,-28000,-23000,-780000,-13000,-6600,0,0,"$3,033.56 "
165,IL0011301780,WIXCOM00001,ITIS,2022,0,0,-48000,0,0,-22000,0,-310000000,-160000000,0,-12000,-11000,-2000000,-7000,-5000,0,0,"$5,108.04 "
172,US46625H1005,JPMORG00001,FINS,2022,0,0,-3500000,0,0,-1500000,0,-50000000000,-17000000000,0,-850000,-850000,-44000000,-560000,-320000,0,0,"$404,364.73 "
179,IE00B4BNMY34,ACCENT00001,CONS,2022,0,0,-13000000,0,0,-5200000,0,0,0,0,-3100000,-3100000,-15000000,-2100000,-1000000,0,0,"$184,527.79 "
186,NO0005052605,NORSKH00001,AAMA,2022,0,0,-150000000,0,0,-6500000,0,0,0,0,-18000000,-21000000,-470000000,-28000000,-1600000,0,0,"$10,294.12 "
193,SE0016828511,EMBRAC00001,ITIS,2022,0,0,-67000,0,0,-30000,0,-340000000,-170000000,0,-18000,-16000,-300000,-10000,-6700,0,0,"$3,087.72 "
200,JP3198900007,ORIENT00001,RECR,2022,0,0,-2800000,0,0,-740000,0,0,0,0,-490000,-550000,-6400000,-500000,-150000,0,0,"$34,642.27 "
207,US6795801009,OLDDOM00001,ROAL,2022,0,0,-190000,0,0,0,0,-1300000,-660000,0,-1600000,-93000,-65000000,0,0,0,0,"$32,040.46 "
214,JP3475350009,DAIICH00001,PILL,2022,0,0,-11000000,0,0,-2900000,0,0,0,0,-5200000,-3000000,-15000000,-1400000,-610000,0,0,"$59,254.68 "
221,ES0144580Y14,IBERDR00001,GENE,2022,0,0,-120000000,0,0,-92000000,0,0,0,0,-30000000,-11000000,-670000000,-1400000,-30000000,0,0,"$79,640.58 "
228,JP3358800005,SHIMIZ00001,BLDG,2022,0,0,-1100000,0,0,-31000,0,0,0,0,-1100000,-390000,-10000000,-74000,-9700,0,0,"$2,925.20 "
235,JP3218900003,CAPCOM00001,ITIS,2022,0,0,-31000,0,0,-13000,0,0,0,0,-8500,-7700,-840000,-4900,-2900,0,0,"$5,903.11 "
242,NL00150001Q9,FIATCH00001,TRAN,2022,0,0,-32000000,0,0,-4200000,0,-32000000,-16000000,0,-2900000,-4600000,-210000000,-5900000,-940000,0,0,"$44,857.74 "
249,LU1598757687,ARCELO00001,IRON,2022,0,0,-4000000000,0,0,-240000000,0,0,0,0,-3500000000,-1300000000,-6200000000,-300000000,-71000000,0,0,"$14,451.18 "
256,US84265V1052,SOUTHE00002,MOMI,2022,0,0,-72000000,0,0,-23000000,0,0,0,0,-29000000,-14000000,-250000000,-7000000,-7000000,0,0,"$6,863.02 "
263,NO0010582521,GJENSI00001,FINS,2022,0,0,-1200000,0,0,-510000,0,0,0,0,-310000,-310000,-660000,-200000,-100000,0,0,"$3,190.77 "
270,CH0012005267,NOVART00001,PILL,2022,0,0,-76000000,0,0,-52000000,0,0,0,0,-3300000,-4400000,-46000000,-5100000,-17000000,0,0,"$193,415.09 "
277,BE0003739530,UCBGRO00001,PILL,2022,0,0,-3800000,0,0,-1100000,0,0,0,0,-650000,-760000,-3800000,-660000,-220000,0,0,"$11,639.75 "
284,US03027X1000,AMERIC00001,RESS,2022,0,0,-67000,0,0,-18000,0,0,0,0,-48000,-21000,-58000000,-6100,-4100,0,0,"$95,726.53 "
291,SE0015811963,INVEST00001,FINS,2022,0,0,-170000,0,0,-79000,0,-5500000000,-1800000000,0,-39000,-39000,-82000,-26000,-18000,0,0,"$37,305.52 "
292,SE0015811963,INVEST00001,FINS,2022,0,0,-170000,0,0,-79000,0,-5500000000,-1800000000,0,-39000,-39000,-82000,-26000,-18000,0,0,"$9,156.91 "
293,SE0015811963,INVEST00001,FINS,2022,0,0,-170000,0,0,-79000,0,-5500000000,-1800000000,0,-39000,-39000,-82000,-26000,-18000,0,0,"$37,305.52 "
294,SE0015811963,INVEST00001,FINS,2022,0,0,-170000,0,0,-79000,0,-5500000000,-1800000000,0,-39000,-39000,-82000,-26000,-18000,0,0,"$9,156.91 "
319,CH0198251305,COCACO00003,BEVM,2022,0,0,-5000000,0,0,-1900000,0,0,0,0,-1300000,-900000,-30000000,-610000,-530000,0,0,"$5,869.24 "
326,AU000000BHP4,BHPGRO00001,MOMI,2022,0,0,-8200000000,0,0,-3400000000,0,0,0,0,-2000000000,-2000000000,-4700000000,-1400000000,-680000000,0,0,"$159,175.84 "
333,DK0060094928,ORSTED00001,REEN,2022,0,0,-58000000,0,0,-400000,0,0,0,0,-85000000,-29000000,-120000000,-110000,-97000,0,0,"$16,990.42 "
340,CA0679011084,BARRIC00001,MOMI,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"$34,280.84 "
347,US12514G1085,CDWCOR00001,ITIS,2022,0,0,-730000,0,0,-300000,0,0,0,0,-210000,-190000,-1400000,-120000,-61000,0,0,"$25,272.71 "
354,JP3420600003,SEKISU00001,BLDG,2022,0,0,-260000,0,0,-19000,0,0,0,0,-110000,-53000,-4300000,-34000,-6300,0,0,"$11,475.08 "
361,US45337C1027,INCYTE00001,PILL,2022,0,0,-91000,0,0,-9900,0,0,0,0,-4000,-11000,-730000,-17000,-2500,0,0,"$16,452.29 "
368,KYG8924B1041,TOPSPO00001,WHRE,2022,0,0,-7100,0,0,-4800,0,0,0,0,-460,-380,-97000,-420,-1600,0,0,"$2,185.05 "
374,JP3982800009,ROHMCO00001,EEMA,2022,0,0,-3400000,0,0,-450000,-3400000,-3400000,-1700000,0,-220000,-390000,-34000000,-580000,-130000,0,0,"$6,627.73 "
381,FR0010908533,EDENRE00001,CONS,2022,0,0,-7000,0,0,-2600,0,-13000000,-6700000,0,-480,-790,-370000,-960,-760,0,0,"$15,611.25 "
388,INE237A01028,KOTAKM00001,FINS,2022,0,0,-17000,0,0,-15000,0,-2200000000,-720000000,0,-1200,-460,-4000000,-70,-5100,0,0,"$31,647.35 "
395,ZAE000179420,GROWTH00001,RESS,2022,0,0,-17000000,0,0,-15000000,0,0,0,0,-210000,-380000,-3400000,-470000,-4900000,0,0,"$2,454.40 "
402,US9224751084,VEEVAS00001,ITIS,2022,0,0,-62000,0,0,-28000,0,-5000000,-2500000,0,-16000,-15000,-2700000,-9300,-6200,0,0,"$25,024.28 "
409,US00724F1012,ADOBEX00001,ITIS,2022,0,0,-680000,0,0,-290000,0,0,0,0,-170000,-170000,-3400000,-110000,-60000,0,0,"$172,724.43 "
416,BMG169621056,BUNGEX00001,AGSA,2022,0,0,-57000000,0,0,-4400000,0,0,0,0,-23000000,-12000000,-150000000,-8100000,-1100000,0,0,"$14,027.24 "
423,US7599161095,REPLIG00001,OTMA,2022,0,0,-210000,0,0,-71000,0,-2700000,-1300000,0,-48000,-47000,-460000,-35000,-15000,0,0,"$8,988.77 "
430,US0304201033,AMERIC00005,WATE,2022,0,0,-32000000,0,0,-32000000,0,0,0,0,-14000,-4600,-27000000,0,-11000000,0,0,"$29,060.08 "
437,INE860A01027,HCLTEC00001,ITIS,2022,0,0,-270000,0,0,-120000,0,-31000000,-15000000,0,-72000,-62000,-7600000,-39000,-27000,0,0,"$13,964.57 "
444,JP3675600005,NISSIN00001,FOMA,2022,0,0,-2800000,0,0,-480000,0,-3400000,-1700000,0,-1200000,-640000,-22000000,-360000,-120000,0,0,"$5,427.72 "
451,CH0210483332,FINRIC00001,OTMA,2022,0,0,-2100000,0,0,-700000,0,0,0,0,-370000,-420000,-4900000,-350000,-150000,0,0,"$85,379.35 "
458,INE463A01038,BERGER00001,PERF,2022,0,0,-4400000,0,0,-1000000,0,0,0,0,-480000,-660000,-32000000,-750000,-250000,0,0,"$1,397.46 "
465,US8887871080,TOASTI00001,ITIS,2022,0,0,-58000,0,0,-23000,0,-190000000,-96000000,0,-17000,-15000,-84000,-9300,-4700,0,0,"$5,568.81 "
469,US5018892084,LKQCOR00001,WHRE,2022,0,0,-5000000,0,0,-290000,0,0,0,0,-210000,-590000,-19000000,-950000,-66000,0,0,"$14,932.92 "
476,JP3766550002,HAKUHO00001,CONS,2022,0,0,-280000,0,0,-120000,0,0,0,0,-72000,-71000,-670000,-47000,-24000,0,0,"$2,416.86 "
483,US22052L1044,CORTEV00001,AGRO,2022,0,0,-17000000,0,0,-7600000,0,-30000000,-15000000,0,-3800000,-3800000,-56000000,-2700000,-1700000,0,0,"$44,208.79 "
490,US8725401090,TJXCOM00001,WHRE,2022,0,0,-23000000,0,0,-8500000,0,0,0,0,-4800000,-5100000,-44000000,-3800000,-1700000,0,0,"$88,807.04 "
497,US8522341036,SQUARE00001,FINS,2022,0,0,-390000,0,0,-160000,0,-420000000,-140000000,0,-98000,-96000,-3800000,-64000,-34000,0,0,"$34,319.36 "
504,INE423A01024,ADANIE00001,CONG,2022,0,0,-420000,0,0,-390000,0,0,0,0,-14000,-14000,-44000000,-9600,-130000,0,0,"$5,764.76 "
511,CA01626P1484,ALIMEN00001,WHRE,2022,0,0,-25000000,0,0,-11000000,0,0,0,0,-6200000,-6300000,-54000000,-4200000,-2100000,0,0,"$40,036.79 "
518,PLKGHM000017,KGHMPO00001,MOMI,2022,0,0,-1400000000,0,0,-560000000,0,0,0,0,-400000000,-360000000,-910000000,-230000000,-110000000,0,0,"$4,091.40 "
525,SE0015988019,NIBEIN00001,FMMA,2022,0,0,-1400000,0,0,-320000,0,0,0,0,-230000,-260000,-2200000,-250000,-68000,0,0,"$19,365.09 "
532,US91307C1027,UNITED00017,PILL,2022,0,0,-350000,0,0,-120000,0,-8500000,-4300000,0,-77000,-78000,-2300000,-59000,-25000,0,0,"$10,394.65 "
539,US22822V1017,CROWNC00001,RESS,2022,0,0,-16000,0,0,-6500,0,0,0,0,-3900,-3800,-3600000,-2500,-1400,0,0,"$55,761.85 "
546,US1252691001,CFINDU00001,AGRO,2022,0,0,-19000000,0,0,-8100000,0,0,0,0,-5000000,-4100000,-860000000,-2700000,-2000000,0,0,"$15,009.39 "
553,SA0007879113,ALRAJH00001,FINS,2022,0,0,-360000,0,0,-220000,0,0,0,0,-58000,-58000,-2300000,-39000,-62000,0,0,"$78,868.97 "
560,DK0060336014,NOVOZY00001,PILL,2022,0,0,-2200000,0,0,-710000,0,0,0,0,-120000,-240000,-19000000,-330000,-210000,0,0,"$10,424.04 "
567,US7757111049,ROLLIN00001,OTHE,2022,0,0,-170,0,0,-170,0,0,0,0,0,0,-31000,0,-57,0,0,"$9,840.27 "
574,US3802371076,GODADD00001,ITIS,2022,0,0,-130000,0,0,-57000,0,0,0,0,-36000,-32000,-2000000,-20000,-12000,0,0,"$11,725.21 "
581,INE203G01027,INDRAP00001,OGES,2022,0,0,-1200000,0,0,-380000,0,0,0,0,-260000,-250000,-20000000,-190000,-86000,0,0,"$2,072.97 "
588,IE0001827041,CRHXXX00001,CEME,2022,0,0,-460000000,0,0,-17000000,0,0,0,0,-610000000,-210000000,-1600000000,-8700000,-4100000,0,0,"$36,687.99 "
595,US7475251036,QUALCO00001,EEMA,2022,0,0,-1200000,0,0,-250000,0,0,0,0,-8800,-100000,-13000000,-190000,-81000,0,0,"$133,665.39 "
602,JP3734800000,NIDECC00001,FMMA,2022,0,0,-56000000,0,0,-2100000,0,0,0,0,-990000,-6100000,-55000000,-11000000,-480000,0,0,"$20,410.37 "
609,US7595091023,RELIAN00003,WHRE,2022,0,0,-6900000,0,0,-2800000,0,0,0,0,-1700000,-1700000,-25000000,-1200000,-570000,0,0,"$14,309.51 "
616,JP3399310006,ZOZOXX00001,ITIS,2022,0,0,-43000,0,0,-18000,0,0,0,0,-11000,-11000,-470000,-7100,-3700,0,0,"$2,788.88 "
623,US5010441013,KROGER00001,WHRE,2022,0,0,-92000000,0,0,-38000000,0,0,0,0,-23000000,-23000000,-300000000,-15000000,-7600000,0,0,"$33,200.38 "
630,US4990491049,KNIGHT00001,ROAL,2022,0,0,-1200000,0,0,0,0,0,0,0,-1800000,-610000,-110000000,0,0,0,0,"$8,366.97 "
637,US0900431000,BILLCO00001,ITIS,2022,0,0,-21000,0,0,-9000,0,-220000000,-110000000,0,-5600,-5000,-940000,-3200,-1900,0,0,"$7,684.90 "
642,JP3502200003,DAIWAS00001,FINS,2022,0,0,-56000,0,0,-24000,0,0,0,0,-14000,-13000,-1500000,-8900,-5100,0,0,"$5,887.41 "
649,INE399L01023,ADANIT00001,OGES,2022,0,0,-460000,0,0,-140000,0,0,0,0,-97000,-93000,-7400000,-74000,-32000,0,0,"$3,097.04 "
656,HK0992009065,LENOVO00001,EEMA,2022,0,0,-5400000,0,0,-1900000,0,0,0,0,-1000000,-1100000,-12000000,-910000,-410000,0,0,"$7,631.02 "
663,BE0974320526,UMICOR00001,OMMA,2022,0,0,-19000000,0,0,-5800000,0,0,0,0,-3300000,-3800000,-42000000,-3200000,-1200000,0,0,"$6,668.20 "
670,SE0017486889,ATLASC00001,FMMA,2022,0,0,-1600000,0,0,-87000,0,0,0,0,-54000,-170000,-11000000,-300000,-28000,0,0,"$31,878.55 "
671,SE0017486889,ATLASC00001,FMMA,2022,0,0,-1600000,0,0,-87000,0,0,0,0,-54000,-170000,-11000000,-300000,-28000,0,0,"$17,013.63 "
672,SE0017486889,ATLASC00001,FMMA,2022,0,0,-1600000,0,0,-87000,0,0,0,0,-54000,-170000,-11000000,-300000,-28000,0,0,"$31,878.55 "
673,SE0017486889,ATLASC00001,FMMA,2022,0,0,-1600000,0,0,-87000,0,0,0,0,-54000,-170000,-11000000,-300000,-28000,0,0,"$17,013.63 "
698,INE089A01023,DRREDD00001,PILL,2022,0,0,-590000,0,0,-250000,0,-61000,-30000,0,-480000,-160000,-23000000,-3800,-84000,0,0,"$6,844.20 "
705,US2855121099,ELECTR00001,ITIS,2022,0,0,-230000,0,0,-100000,0,0,0,0,-61000,-55000,-1600000,-35000,-22000,0,0,"$32,908.49 "
712,US1331311027,CAMDEN00001,RESS,2022,0,0,-8300000,0,0,-4000000,0,0,0,0,-540000,-840000,-13000000,-960000,-1200000,0,0,"$10,897.06 "
719,US9311421039,WALMAR00001,WHRE,2022,0,0,-260000000,0,0,-99000000,0,0,0,0,-58000000,-60000000,-1100000000,-43000000,-20000000,0,0,"$211,203.98 "
726,PLDINPL00011,DINOPO00001,WHRE,2022,0,0,-2900000,0,0,-770000,0,0,0,0,-450000,-560000,-7900000,-520000,-160000,0,0,"$4,480.93 "
733,FI0009003727,WARTSI00001,FMMA,2022,0,0,-770000,0,0,-51000,0,-43000000,-21000000,0,-59000,-99000,-4000000,-140000,-12000,0,0,"$4,435.30 "
740,US3841091040,GRACOI00001,FMMA,2022,0,0,-880000,0,0,-250000,0,0,0,0,-140000,-170000,-2600000,-150000,-53000,0,0,"$11,750.97 "
747,JP3689050007,NIHONM00001,FINS,2022,0,0,-7700,0,0,-3400,0,-54000,-18000,0,-1800,-1800,-9100,-1200,-750,0,0,"$2,282.49 "
754,JP3862400003,MAKITA00001,FMMA,2022,0,0,-1400000,0,0,-280000,0,0,0,0,-220000,-250000,-4300000,-250000,-59000,0,0,"$5,298.91 "
761,AU000000JHX1,HARDIE00001,CEME,2022,0,0,-31000000,0,0,-10000000,0,0,0,0,-7600000,-7100000,-53000000,-5200000,-2100000,0,0,"$9,975.98 "
768,NL0014332678,JDEPEE00001,FOMA,2022,0,0,-7600000,0,0,-1200000,0,0,0,0,-1500000,-1300000,-27000000,-1300000,-260000,0,0,"$3,425.59 "
775,PLOPTTC00011,CDPROJ00001,ITIS,2022,0,0,-490,0,0,-290,0,0,0,0,-70,-72,-83000,-53,-82,0,0,"$1,696.53 "
782,GB0000811801,BARRAT00001,RESS,2022,0,0,-44000,0,0,-5200,0,0,0,0,-18000,-8700,-1400000,-5500,-1700,0,0,"$5,948.12 "
789,BE0003565737,KBCGRO00001,FINS,2022,0,0,-670000,0,0,-280000,0,-4200000000,-1400000000,0,-170000,-170000,-1500000,-110000,-56000,0,0,"$18,668.82 "
796,CH1175448666,STRAUM00001,OTMA,2022,0,0,-200000,0,0,-86000,0,0,0,0,-49000,-48000,-830000,-32000,-18000,0,0,"$16,454.59 "
803,GB00B1CRLC47,MONDIP00001,PAPM,2022,0,0,-310000000,0,0,-200000000,0,0,0,0,-66000000,-30000000,-210000000,-14000000,-67000000,0,0,"$7,726.63 "
810,MYL7277OO006,DIALOG00001,OGES,2022,0,0,-360000,0,0,-100000,0,0,0,0,-94000,-78000,-840000,-57000,-21000,0,0,"$1,962.64 "
817,ZAE000200457,PRICEG00001,WHRE,2022,0,0,-1100000,0,0,-510000,0,0,0,0,-240000,-240000,-5200000,-170000,-120000,0,0,"$2,210.17 "
824,INE111A01025,CONTAI00001,RAIL,2022,0,0,-1600000,0,0,-430000,0,0,0,0,-1100000,-550000,-14000000,-180000,-87000,0,0,"$2,028.17 "
831,FR0000121964,KLEPIE00001,RESS,2022,0,0,-1300000,0,0,-240000,0,0,0,0,-4400,-100000,-3700000,-210000,-81000,0,0,"$5,304.01 "
838,JP3885780001,MIZUHO00001,FINS,2022,0,0,-310000,0,0,-120000,0,-6000000000,-2000000000,0,-130000,-83000,-7500000,-42000,-25000,0,0,"$34,174.25 "
845,GB00BLGZ9862,TESCOX00001,WHRE,2022,0,0,-40000000,0,0,-13000000,0,0,0,0,-7900000,-8700000,-100000000,-6900000,-2800000,0,0,"$23,918.39 "
852,HK0083000502,SINOLA00001,RESS,2022,0,0,-1400000,0,0,-550000,0,0,0,0,-380000,-350000,-10000000,-230000,-110000,0,0,"$4,312.35 "
859,BE0003470755,SOLVAY00001,PERF,2022,0,0,-390000000,0,0,-16000000,0,0,0,0,-1100000,-38000000,-630000000,-74000000,-5200000,0,0,"$8,335.43 "
866,GRS426003000,MOTORO00002,OGES,2022,0,0,-4300000,0,0,-1700000,0,0,0,0,-670000,-690000,-110000000,-600000,-460000,0,0,"$1,509.32 "
873,CNE000000HP9,MEIHUA00002,FOMA,2022,0,0,-89000000,0,0,-5500000,0,0,0,0,-120000000,-40000000,-460000000,-1000000,-1800000,0,0,"$2,421.77 "
880,US74460D1090,PUBLIC00001,RESS,2022,0,0,-1300000,0,0,-530000,0,0,0,0,-310000,-300000,-6900000,-200000,-110000,0,0,"$45,824.00 "
887,US40434L1052,HPINCX00001,EEMA,2022,0,0,-3300000,0,0,-760000,0,0,0,0,-400000,-560000,-13000000,-600000,-160000,0,0,"$29,317.95 "
894,HU0000153937,MOLMAG00001,OGES,2022,0,0,-56000000,0,0,-18000000,0,0,0,0,-11000000,-11000000,-380000000,-9400000,-3800000,0,0,"$2,941.87 "
901,NL0000009082,KONINK00003,ITIS,2022,0,0,-350000,0,0,-140000,0,0,0,0,-110000,-91000,-11000000,-56000,-28000,0,0,"$11,358.12 "
908,DK0060738599,DEMANT00001,OTMA,2022,0,0,-780000,0,0,-270000,0,0,0,0,-140000,-160000,-1800000,-130000,-61000,0,0,"$3,606.41 "
915,JP3278600006,KEISEI00001,RAIL,2022,0,0,-1800000,0,0,-740000,0,-12000000,-5900000,0,-12000000,-450000,-4500000,-310000,-150000,0,0,"$4,155.16 "
922,JP3762600009,NOMURA00001,FINS,2022,0,0,-540000,0,0,-230000,0,0,0,0,-140000,-130000,-2400000,-89000,-46000,0,0,"$10,723.72 "
929,CH0432492467,ALCONX00001,OTMA,2022,0,0,-8200000,0,0,-3100000,0,0,0,0,-1800000,-1800000,-24000000,-1300000,-650000,0,0,"$35,303.02 "
936,JP3735400008,NTTCOR00001,ITIS,2022,0,0,-4400000,0,0,-1900000,0,0,0,0,-1100000,-1100000,-190000000,-690000,-410000,0,0,"$63,291.52 "
943,NO0010096985,EQUINO00001,OGES,2022,0,0,-180000000,0,0,-50000000,0,0,0,0,-49000000,-41000000,-740000000,-29000000,-10000000,0,0,"$27,709.12 "
950,CH0102484968,JULIUS00001,FINS,2022,0,0,-280000,0,0,-120000,0,-650000000,-220000000,0,-70000,-69000,-300000,-46000,-24000,0,0,"$14,881.38 "
957,US1156372096,BROWNF00001,BEVM,2022,0,0,-2200000,0,0,-350000,0,0,0,0,-1900000,-720000,-10000000,-140000,-99000,0,0,"$19,022.03 "
964,FR0000125007,SAINTG00001,NMMA,2022,0,0,-29000000,0,0,-12000000,0,0,0,0,-11000000,-6400000,-480000000,-3000000,-3100000,0,0,"$26,799.65 "
971,US89417E1091,TRAVEL00001,FINS,2022,0,0,-820000,0,0,-350000,0,0,0,0,-210000,-200000,-2200000,-130000,-72000,0,0,"$38,920.80 "
978,JP3897700005,MITSUB00006,PERF,2022,0,0,-88000000,0,0,-17000000,0,0,0,0,-43000000,-23000000,-790000000,-11000000,-3900000,0,0,"$7,389.31 "
985,US48251W1045,KKRCOA00001,FINS,2022,0,0,-130000,0,0,-54000,0,-970000000,-320000000,0,-32000,-31000,-210000,-21000,-11000,0,0,"$33,416.09 "
992,DK0060448595,COLOPL00001,OTMA,2022,0,0,-970000,0,0,-360000,0,0,0,0,-210000,-220000,-2900000,-160000,-74000,0,0,"$18,531.18 "
999,JP3165000005,SOMPOH00001,FINS,2022,0,0,-4200000,0,0,-1700000,0,0,0,0,-1300000,-1100000,-9100000,-660000,-340000,0,0,"$11,573.57 "
1006,JP3774200004,HANKYU00001,CONG,2022,0,0,0,0,0,0,0,0,0,0,0,0,-35000000,0,0,0,0,"$6,692.89 "
1013,JP3304200003,KOMATS00001,FMMA,2022,0,0,-7700000,0,0,-1800000,0,0,0,0,-2100000,-1600000,-26000000,-1200000,-370000,0,0,"$21,562.71 "
1020,US4364401012,HOLOGI00001,OTMA,2022,0,0,-380000,0,0,-130000,0,0,0,0,-130000,-96000,-1100000,-58000,-27000,0,0,"$20,478.41 "
1027,INE467B01029,TATACO00001,ITIS,2022,0,0,-230000,0,0,-120000,0,-180000000,-91000000,0,-59000,-46000,-7700000,-27000,-33000,0,0,"$38,501.83 "
1034,US29414B1044,EPAMSY00001,ITIS,2022,0,0,-190000,0,0,-98000,0,-15000000,-7500000,0,-42000,-38000,-7100000,-25000,-25000,0,0,"$16,655.90 "
1041,NL0000334118,ASMINT00001,EEMA,2022,0,0,-69000,0,0,-14000,-320000,-320000,-160000,0,-15000,-12000,-1400000,-11000,-3300,0,0,"$18,571.47 "
1048,DK0010272202,GENMAB00001,PILL,2022,0,0,-1400000,0,0,-430000,0,-29000000,-15000000,0,-240000,-270000,-600000,-240000,-94000,0,0,"$26,950.07 "
1055,AU000000SEK6,SEEKXX00001,CONS,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"$5,392.80 "
1062,JP3837800006,HOYACO00001,OTMA,2022,0,0,-17000000,0,0,-3700000,0,-5300000,-2700000,0,-1300000,-2400000,-26000000,-3000000,-940000,0,0,"$37,926.22 "
1069,US3205171057,FIRSTH00002,FINS,2022,0,0,-80000,0,0,-35000,0,-1800000000,-600000000,0,-20000,-19000,-2700000,-13000,-7600,0,0,"$9,696.60 "
1076,ZAE000314084,RANDME00001,FINS,2022,0,0,-2000000,0,0,-1900000,0,0,0,0,-10000,-13000,-400000,-13000,-630000,0,0,"$2,954.92 "
1083,JP3197600004,ONOPHA00001,PILL,2022,0,0,-240000,0,0,-93000,0,0,0,0,-63000,-58000,-1200000,-39000,-19000,0,0,"$7,295.68 "
1090,KYG9431R1039,WANTWA00001,FOMA,2022,0,0,-2600000,0,0,-2200000,0,-44000000,-22000000,0,-200000,-120000,-32000000,-74000,-710000,0,0,"$1,511.91 "
